法人番号,空欄,空欄,空欄,サービスの名称（最大40文字）,サブタイトル（最大40文字）,サービスの対象者,サービスの対象分野,都道府県（全国サービスの場合はチェックなし）,対象地域群,空欄,空欄,空欄,サービス概要（最大200文字）,,空欄,開始日,終了日,サービス期間に関して自由に記入してください。（最大２０文字）,空欄,詳細情報URL,企業名等,空欄,空欄,サービス対象の業種（標準産業分類）,［事業者向けサービス］支援対象事業ステージ,［事業者向けサービス］サービス分類,［事業者向けサービス］「お困りごと」,［個人向けサービス］ライフステージ,［個人向けサービス］サービス分類,［個人向けサービス］お困りごと,災害名,キーワード,空欄,空欄,空欄,情報更新日,空欄,空欄,空欄,サービス費用,サービス詳細分類,［教育用サービスの場合］教育用サービス内容,主な所属団体名,記入者の連絡先（メールアドレス）・・非公開,本情報は、業界団体などを通じて各企業が登録した情報であり、情報の内容、情報活用等により生じた一切の責任を政府は負いません。情報源を確認するなどして、利用者の判断で活用してください。
,,,,情報の紹介、調査、研究,,"個人, 企業等, 行政機関",ワークスタイル（テレワーク含む）,,,,,,テレワークやデマンド交通等に対する研究・セミナー等を行い、地域活性化のサポートに取り組んでいます。,,,,,,,https://narachiikishisan.blog.fc2.com/,奈良地域資産研究会,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,無料,,,テレワーク・デイズ登録企業,,
,,,,新型コロナウィルス感染拡大予防のためのテレワーク活用セミナー,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,新型コロナウイルス感染予防対策として、急遽テレワーク導入・活用をする際のステップやポイント、便利なテレワークツールや取組事例の紹介をWEBセミナーにて開催します。また、国や東京都から発表されている支援策・助成金等についてもお伝えします。,,,2020/3/2,,2020年3月から毎月開催,,https://tokyo-telework.jp/seminarevent,東京テレワーク推進センター,,,,,その他,,,その他,,新型コロナウイルス感染症,テレワーク,,,,2020-03-10,,,,無料,,,テレワーク・デイズ登録企業,,
,,,,TOKYOテレワークアプリ,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,"テレワークの導入・実践に必要な情報を入手できるほか、テレワーク推進セミナー等のお申込みやサテライトオフィス等の検索、簡易テレワーク勤怠管理など、便利な機能が盛沢山の
東京都公式スマートフォンアプリです。",,,2020/3/2,,継続提供予定,,https://tokyo-telework.jp/lp/2002app/index.html,東京テレワーク推進センター,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-10,,,,無料,,,テレワーク・デイズ登録企業,,
,,,,サテライトオフィス検索,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,"地図上で、今いる場所の周辺にあるサテライトオフィスやコワーキングスペース、ワークスペースとしても利用できるカフェや公共施設などを簡単に探すことができます。
また、所在エリアやフリーワード等から東京都内及び近郊のサテライトオフィス等を検索することができます。",,,2020/3/2,,継続提供予定,,https://tokyo-telework.jp/office,東京テレワーク推進センター,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-10,,,,無料,オフィスなどの空間,,テレワーク・デイズ登録企業,,
,,,,コワーキングスペースドロップイン（一時利用）は無料 什器備品利用料無料です。,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,コワーキングスペースドロップイン（一時利用）は無料。プロジェクター、スクリーンなど什器備品利用料無料でできます。駐車場（無料）完備,,,2020/3/2,,新型コロナウイルスが終息の目途がつくまで,,http://www.ne.jp/asahi/azuminoict/hp/,安曇野コワーキングスペース,,,,,現物支給・貸与,,,現物支給・貸与,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,無料,オフィスなどの空間,,テレワーク・デイズ登録企業,,
,,,,コワーキングスペース,,個人,ワークスタイル（テレワーク含む）,,,,,,職種、フリーランス、会社員、役職の区別なくスペースを共有しながら独立した仕事を行うコワーキングスペースの提供,,,,,,,https://beatlebil.com/,株式会社ＣＤＩ,,,,,,,,サービス提供,,新型コロナウイルス感染症,ワークスペース,,,,2020-03-11,,,,割引,オフィスなどの空間,,シェアリングエコノミー協会,,
,,,,/Bangarrow,,"個人, 企業等, 教育機関, 医療機関",ワークスタイル（テレワーク含む）,,,,,,"JR横浜駅から徒歩5分
横浜の海が一望できる高層階にあるコワーキングスペース",,,2018/2/15,,,,https://www.bangarrow.com/,ネットフォレスト,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,コワーキングスペース,,,,2020-03-11,,,,その他,オフィスなどの空間,,日本インターネットプロバイダー協会,,
,,,,「Streamline（ストリームライン）」,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,テレワークでも支払い依頼や稟議、その他各種申請を既存の帳票レイアウトのままシステム化して利用していただけます。,,,,,試用期間として１か月フル機能を無料で利用できます。（終了時期未定）,,https://streamline.mitori.co.jp/,株式会社ミトリ,,,,,サービス提供,,,,,新型コロナウイルス感染症,クラウド型ワークフロー,,,,2020-03-11,,,,無料,情報通信,,テレワーク・デイズ登録企業,,
,,,,サテライトオフィス多摩センター,,企業等,"ワークスタイル（テレワーク含む）, その他",,,,,,厚労省委託事業・「仕事と子育てを支援する」サテライトオフィスのモデル事業として、3月末まで無料でサテライトオフィスをご利用いただけます。,,,,,サテライトオフィス多摩センターの無料利用は3月末まで。4月以降は法人会員登録（年間10万円~）していただいてからご利用いただけます,,http://mhlw.c-mam.co.jp/index.php,株式会社キャリア・マム,,,,,サービス提供,,,,,新型コロナウイルス感染症,サテライトオフィスの無料提供（3月末まで）、一時保育,,,,2020-03-11,,,,無料,オフィスなどの空間,,日本テレワーク協会,,
,,,,スラスラスラック,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"業務コラボレーションツールであるSlackの導入支援を行っています。
（初期設定、支払い代行、利用ガイドライン提供、教育サービスの提供）",,,2019/12/1,,,,http://slack.ids.co.jp/,株式会社アイディーエス,,,,,サービス提供,,,,,新型コロナウイルス感染症,チャットツール（Slack）の導入支援サービス,,,,2020-03-11,,,,割引,コミュニケーション支援,,テレワーク・デイズ登録企業,,
,,,,IT-Guardians IT資産管理サービス,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,社外に持ち出したPCやタブレット、スマートフォンなどのIT機器を対象に、クラウドで資産管理やセキュリティ管理の機能を提供するサービスです。,,,,,,,https://www.konicaminolta.jp/business/service/it-guardians/ism/index.html,コニカミノルタジャパン株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,その他,遠隔作業環境,,日本テレワーク協会,,
,,,,Dispatcher Phoenix,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,"コニカミノルタ複合機とDP Phoenixで事務所に届くFAXの確認作業はテレワーク先でも可能に。DP Phoenixは30日間無料トライアル可能(要設定費)。
",,,,,,,https://businesssolution.konicaminolta.jp/business/products/dispatcher-phoenix/index.html,コニカミノルタジャパン株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,その他,遠隔作業環境,,日本テレワーク協会,,
,,,,ベトナムオフショア,,企業等,その他,,,,,,パンデミックやBCPや人材不足の問題解決にベトナム1200名のエンジニアオフショアを活用,,,,,期限はないです,,http://ima-o.com/,株式会社IMAO,,,,,サービス提供,,,,,新型コロナウイルス感染症,アウトソーシング,,,,2020-03-11,,,,割引,,,テレワーク・デイズ登録企業,,
,,,,いいオフィス上野 by LIG,,"個人, 企業等",ワークスタイル（テレワーク含む）,,,,,,"会員登録、事前予約不要！2時間600円、1日2,000円で気軽に利用できるコワーキングスペースです。Wifi/電源/フリードリンク完備なので、テレワークにぴったりです。",,,,,,,https://ii-office.jp/ueno-by-lig/,株式会社LIG,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録企業,,
,,,,メール共有システムRe:lation,,企業等,コミュニケーション,,,,,,Re:lationは、メール・SNSといったお問い合わせ窓口を一元管理し、チームで共有できるSaaS型ウェブサービスです。互いの対応状況を可視化し、分担して対応することで効率化・品質向上に寄与します。,,,,,開始から20日間無料,,https://ingage.jp/relation/,株式会社インゲージ,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,その他,,,テレワーク・デイズ登録企業,,
,,,,RevoWorks,,"企業等, 教育機関, 医療機関, 行政機関",ワークスタイル（テレワーク含む）,,,,,,ローカルコンテナ機能を用いて、セキュアブラウザー機能と仮想デスクトップ機能を提供するテレワークソリューション。,,,2019/10/1,,終了時期未定,,https://jscom.jp/revoworks/,ジェイズ・コミュニケーション株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,セキュアテレワークソリューション,,,,2020-03-11,,,,割引,,,日本ネットワークセキュリティ協会,,
,,,,コワーキングスペース・Somethin' Else,,"個人, 企業等, 教育機関",ワークスタイル（テレワーク含む）,,,,,,快適なテレワーク環境を提供します。,,,2013/8/1,,,,https://somethingelse.jp/,株式会社フェアマインド,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,コワーキングスペース、シェアオフィス経営,,,,2020-03-11,,,,その他,オフィスなどの空間,,シェアリングエコノミー協会,,
,,,,「GB NAVI　IP,,企業等,その他,,,,,,中国の政府機関などが発表した「新型コロナウイルス」に関する情報の中から、日本企業のみなさまのお役に立つと思われる現地の生情報を日本語化して日々提供しています。,,,2020/2/20,,終了時期未定,,https://gbnavi.jp/,株式会社フォトハイウェイ・ジャパン,,,,,サービス提供,,,,,新型コロナウイルス感染症,中国政府機関が発表する新型コロナウイルスの関連情報の提供,,,,2020-03-11,,,,無料,,,コンピュータソフトウェア協会,,
,,,,Netop Remote Control（ネトップ リモート コントロール）,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,「Netop Remote Control」は、高いセキュリティと安定した接続を保持し、クラウドベースで利用できることから、インターネット環境とPC端末があればすぐに自宅と会社間を遠隔で接続し、リモートワークを簡単にスタートすることができる製品です。,,,,,新型コロナウイルス対策のため、在宅勤務/テレワーク導入の支援を実施しています。利用開始から30日間は無償でご利用可能です。,,https://its.tos.co.jp/topics/rcwcfree,スリーワンシステムズ株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,無料,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,チャットブック,,"企業等, 行政機関",ワークスタイル（テレワーク含む）,,,,,,SNSを使ったマーケティングオートメーションツール。SNS上での新規顧客獲得を自動化し、オンラインでの効率的な販促・営業を促します。,,,2017/9/11,,終了時期未定,,https://chatbook.ai,株式会社チャットブック,,,,,サービス提供,,,,,新型コロナウイルス感染症,営業効率化,,,,2020-03-11,,,,無料,遠隔作業環境,,日本テレワーク協会,,
,,,,白馬ノルウェービレッジ,,"個人, 企業等, 教育機関","ワークスタイル（テレワーク含む）, 宿泊、飲食サービス",,,,,,"白馬村でコワーキングスペース、イベントスペース、シェアオフィスを運営しています。
人混みから離れて仕事や勉強をしたい方にスペースの開放をいたします。
基本無料の施設ですが、期間中貸し切りなどの対応をいたします。
",,,2020/3/1,,コロナウィルスによる世の中の自粛がおさまるまで,,https://hnv.jp,しくみ株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク施設の開放,,,,2020-03-11,,,,無料,オフィスなどの空間,,その他,,
,,,,セキュアモバイル定額通信サービス,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,在宅勤務・モバイルワーク・サテライトオフィスなど、場所を選ばず社内ネットワークへアクセスできるので、今までは社内に居ないとできなかった業務が、社外からでも可能になります。初月利用分を無償提供いたします。,,,,,利用開始から1ヶ月,,https://workstyle.cec-ltd.co.jp/solution/mobile_network.html,株式会社シーイーシー,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,その他,,,日本テレワーク協会,,
,,,,テレワーク支援ロボット　OriHime,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","教育・学習支援, ワークスタイル（テレワーク含む）, 医療、福祉, コミュニケーション",,,,,,簡単にテレワーク・在宅勤務開始支援,,,2020/3/2,,1ヶ月単位での利用が可能,,https://orylab.com/,株式会社オリィ研究所,,,,,現物支給・貸与,,,現物支給・貸与,,新型コロナウイルス感染症,テレワーク・在宅勤務,,,,2020-03-11,,,,その他,,,日本テレワーク協会,,
,,,,grow,,"個人, 企業等, 教育機関",生活関連サービス、娯楽,,,,,,ビルの屋上や、商業施設などの屋内、ご自宅のベランダなどあらゆるところで野菜栽培を可能にするAgriculture as a Serviceプラットフォーム『grow』を展開。独自開発のIoT+AIを搭載したハードウェア「grow connecet」で育てるたのしさを可視化し、コミュニティと連携し、育てた野菜を近隣の飲食店へ持ち寄り食べるよろこびを分かち合えるサービスです。,,,2020/3/10,,コロナウィルスの落ち着きが見えるまで。,,https://plantio.co.jp/,プランティオ株式会社,,,,,現物支給・貸与,,,現物支給・貸与,,新型コロナウイルス感染症,自宅で栽培できる野菜のタネの配布,,,,2020-03-11,,,,無料,,,シェアリングエコノミー協会,,
,,,,マイホームアプリ「knot」,,企業等,"ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,マイホームアプリ「knot」は住宅工務店向け接客支援クラウドです。お客様や施主様とのチャットやクラウド情報共有などのサービスを提供しています。今回、knotの新規導入企業様向けにテレワーク環境構築アドバイスを含む「テレワーク導入支援プラン」をご用意しております。,,,,,テレワーク導入支援プランのみ受付は2020年5月12日まで（基本プランに利用期間の制限はありません）,,https://sousei-tech.com/pr/knot_2020-03-09_remotework/,株式会社SOUSEI Technology,,,,,サービス提供,,,,,新型コロナウイルス感染症,住宅工務店のための接客・営業支援クラウド,,,,2020-03-11,,,,その他,,,その他,,
,,,,コワーキングスペース,,"個人, 企業等",ワークスタイル（テレワーク含む）,,,,,,300円/時でコワーキングスペースを提供。融資制度と補助金関連の情報提供及び支援も行っています。,,,,,,,https://matsudo-startup.jp/,松戸スタートアップオフィス,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録企業,,
,,,,?オンライン英会話レッスン（グループレッスン）,,個人,教育、学習支援,,,,,,日本の小学生を対象にオンライン英会話レッスンを無料で提供いたします。アプリや動画を使った学習ではなく、フィリピン・セブ島から英語教師がライブで行う授業になります。午前9時から午後 6時の時間帯にて、授業を受けることが可能です。,,,,,,,https://qqenglish.page/forchildren/,株式会社QQ English,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-11,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,「プログラミングクエスト」,,個人,教育、学習支援,,,,,,プログラミングクエストは沖縄女子短期大学との共同研究により、効果的な動画学習を目指して開発されたど学習教材です。パソコンに慣れ親しむ、プログラミングの仕組みを知るということをコンセプトに、3年半でのべ1万人が体験しました。小中高の学生や教員の方にも研修で用いられ、大人から子供まで楽しみながらプログラミング学習をすすめることが出来ます。,,,,,,,https://school.tsukurukids.com/,一般社団法人ツクル,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-10,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,らくーざ,,企業等,ワークスタイル（テレワーク含む）,,,,,,在宅勤務を導入する企業に社員の出社状況がわかるシステムを提供,,,2020/3/10,,利用開始から1ヶ月間は無料,,https://www.racooza.com/zaitaku/,日本事務器株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-11,,,,無料,遠隔作業環境,,コンピュータソフトウェア協会,,
,,,,ペーパレス会議システム「moreNOTE」無償提供,,"企業等, 行政機関",ワークスタイル（テレワーク含む）,,,,,,ペーパーレス会議システム「moreNOTE」を、テレワークや在宅勤務、遠隔会議の実施を必要としている企業に無償提供しています。,,,2020/2/27,,受付終了時期は未定（利用期間は登録後３カ月間）,,https://www.morenote.jp/archives/1545/?fm=news,富士ソフト株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,無料,遠隔作業環境,,日本ネットワークセキュリティ協会,,
,,,,スマート配信,,"企業等, 教育機関, 医療機関, 福祉施設, 行政機関",コミュニケーション,,,,,,【新型コロナウィルス等の緊急連絡に！】企業団体内の一斉連絡、安否確認等を迅速・確実に実現できます。,,,,,,,https://www.a-i-d.co.jp/solution/our_products/mail_deli.html,株式会社アドヴァンスト・インフォーメイション・デザイン,,,,,サービス提供,,,,,新型コロナウイルス感染症,情報配信、一斉配信、スピード導入、安価、スマートフォン・ガラケーに対応,,,,2020-03-12,,,,その他,,,全国地域情報産業団体連合会,,
,,,,TRUST DELETE prime,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関",ワークスタイル（テレワーク含む）,,,,,,"モバイルパソコンの盗難・紛失時は、リモートロック・消去でデータ漏えいを防止します。オフラインでも自律制御セキュリティ機能が監視ポリシーの違反を検知すると大音量アラームやロック・消去でパソコンとデータを保護します。
自律制御セキュリティ機能は持ち出し禁止パソコンの不正利用の防止にも有効です。",,,2020/3/1,,利用開始から3か月,,https://www.onebe.co.jp/2020TDM/index.html,ワンビ株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク、セキュリティ、情報漏えい対策,,,,2020-03-12,,,,無料,遠隔作業環境,,コンピュータソフトウェア協会,,
,,,,テレワークシステム評価貸出、提案/導入支援,,企業等,ワークスタイル（テレワーク含む）,,,,,,テレワーク（リモートワーク）システムの評価ライセンスの無償貸し出し（30日間）。製品調達仕様にあわせ複数製品から製品選定し提案および導入作業を支援（有償提供）。,,,2020/3/10,,指定なし,,https://www.tdi.co.jp,情報技術開発株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,その他,,,情報サービス産業協会（JISA）,,
,,,,需要予測型自動発注システム「sinops」,,企業等,その他,,,,,,"万一感染者が発生もしくは拡大を防止するための措置により、濃厚接触者は一定期間自宅待機となります。 発注担当者の不在に備え、当社の自動発注ノウハウから簡易的な発注データ（先14日分）を無償でご提供させていただきます。
",,,2020/3/11,,終了時期未定,,https://www.sinops.jp/wp-main/wp-content/uploads/2020/03/againstvirus-1.pdf,株式会社シノプス,,,,,サービス提供,,,,,新型コロナウイルス感染症,先14日間の緊急用発注データの無償提供,,,,2020-03-12,,,,無料,,,その他,,
,,,,オンラインおうち学校,,"教育機関, 非営利型一般社団法人",教育・学習支援,,,,,,各界の第一人者から授業を受けられるオンライン学校です。社会、理科、英語、国語、体育など、学校の授業では聞けない一歩進んだ、一歩踏み込んだ内容を提供しています。専門家の先生方に直接質問できるのもオンライン学校の醍醐味です。,,,2020/3/2,,一斉休校期間は継続し、その後も、ハイブリッドスクーリングの可能性の一つとしてサービス提供を続ける所存です。,,https://www.alba-edu.org/onlineouchigakko/,一般社団法人アルバ・エデュ,,,,,サービス提供,,,,,新型コロナウイルス感染症,オンライン授業,,,,2020-03-12,,,,割引,オンライン授業,,その他,,
,,,,Blink community,,"個人, 企業等","ワークスタイル（テレワーク含む）, その他",,,,,,コワーキングスペース&シェアオフィス の運営をしております。この度、WEB会議システムを導入し、テレワーク環境を整えました。入居企業以外に一日利用でテレワークが必要な方には、機材の無料レンタルを開始しました。,,,2020/3/2,,終了期間未定,,https://www.blinkcommunity.com/?lang=ja,Blink Roppongi合同会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク用WEB会議機材無料レンタル,,,,2020-03-12,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録企業,,
,,,,イマキク,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関, MICE、セミナー・イベント・学会、会社説明会・社内研修など、ライブ配信対応が必要な企業も対応可能","教育・学習支援, ワークスタイル（テレワーク含む）, コミュニケーション",,,,,,"自分のスマホ・タブレット・PCから、QRコードを読取るだけで、即リアルタイム投票・コメント投稿ができます。
ライブ配信による会社説明会・イベント・セミナー・学会、MICE、会議などを実施する方は試してください。",,,2020/3/1,,会員登録するだけ！基本機能はずっと無料で利用できます,,https://imakiku.com,株式会社天問堂,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,リアルタイム投票・コメント投稿・アンケート（アプリ不要で即使える）,,,,2020-03-12,,,,無料,遠隔作業環境,,その他,,
,,,,WEB会議機器無料貸し出し,,"個人, 企業等, 教育機関, 医療機関, 福祉施設, 行政機関","ワークスタイル（テレワーク含む）, コミュニケーション, その他",,,,,,WEB会議等で必要なカメラ・ヘッドホン・モニター・大型モニター・プロジェクターなどを無料貸し出し致します。,,,2020/3/12,,終了時期未定,,https://www.incubation-office-agora.com,コワーキングスペースBUSO AGORA,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,無料,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,TENT幕張,,"個人, 企業等",ワークスタイル（テレワーク含む）,,,,,,千葉にお住まいで都内までの通勤にご苦労されている方にテレワークスペースをご提供しております。一時利用（ドロップイン）は9:00-24:00まで（土日は20:00まで）ご利用いただけます。,,,2020/3/1,,終了時期未定,,https://www.tent-makuhari.com,ステップチェンジ株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,千葉市のコワーキングスペース,,,,2020-03-12,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録企業,,
,,,,FUJITSU Infrastructure System Integration デスクトップ仮想化サービス,,企業等,ワークスタイル（テレワーク含む）,,,,,,仮想化・シンクライアント・セキュリティなどの様々な技術をベースに”いつでも・どこでも安全・安心・快適なデスクトップ環境”をご提供いたします。,,,,,,,https://www.fujitsu.com/jp/fsas/services/application-services/application-development-integration/cloud/desktop/,株式会社富士通エフサス,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,その他,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,FUJITSU Security Solution機密情報保護＆共有ソリューション RightspiaR for Secure Documents,,企業等,ワークスタイル（テレワーク含む）,,,,,,社外から社内ネットワークにアクセスすることにより、情報漏えいの危険性がより高まります。パスワード不要のファイル暗号化により、シンプルな運用で強固に機密情報を保護することができます。,,,,,,,https://www.fujitsu.com/jp/fsas/solutions/business-technology/security/rightspia/,株式会社富士通エフサス,,,,,現物支給・貸与,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,その他,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,FUJITSU Security Solutionセコム電子証明書サービス,,企業等,ワークスタイル（テレワーク含む）,,,,,,セコムトラストシステムズ社で厳重に管理されている認証局にて信頼性の高い証明書を発行し、正しいデバイスからのみシステムへの接続を許可するなど、なりすましを防止します。,,,,,,,https://www.fujitsu.com/jp/fsas/solutions/business-technology/security/secom/private-ca/index.html,株式会社富士通エフサス,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,その他,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,FUJITSU Managed Infrastructure Service スマートデバイス-LCMサービス,,企業等,ワークスタイル（テレワーク含む）,,,,,,様々な職種や環境で利用されるスマートデバイスをICTの視点から企画・設計・導入展開・運用までワンストップで提供します。,,,,,,,https://www.fujitsu.com/jp/fsas/services/infrastructure/end-user-services/system/smartdevice-lcm/,株式会社富士通エフサス,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,2020-03-12,,,,その他,遠隔作業環境,,テレワーク・デイズ登録企業,,
,,,,オリジン・オンライン英会話,,"個人, 企業等, 教育機関",教育・学習支援,,,,,,"オリジン・オンライン英会話は子ども専門のオンライン英会話サービスです。
ネイティブの先生と毎日、オンラインで英語が学べます。
予約不要、時間固定、２０回／月、２０分／回、無料の専用ソフト、入学金なし
割引価格：12000円／月
",,,,,,,http://www.originedu.jp/,INTERLINE株式会社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンライン英会話,,,,2020-03-12,,,,割引,オンライン授業,,日本情報技術取引所,,
,,,,Gakken 家庭学習応援サイト,,個人,教育・学習支援,,,,,,小学校・中学校・高等学校・特別支援学校の臨時休校中に家庭でできる教材を無料で提供いたします。ぜひお役立てください。,,,2020/3/2,,未定（開始時は3月31日を予定していましたが、状況に応じて延長の方針です。）,,https://www.gakken.co.jp/homestudy-support/,株式会社学研ホールディングス,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-12,,,,無料,オンライン授業,,日本教育情報化振興会,,
,,,,サテライトオフィス誘致、テレワーク拠点の紹介,,企業等,行政サービス等,,,,,,企業等からの問い合わせ対応、視察の受入れ、コワーキングスペースなどテレワーク拠点の紹介、地域情報の発信、企業間マッチングの促進,,,新型コロナ以前より開始,,,,http://nishiawa-so.com/,徳島県西部総合県民局　にし阿波サテライトオフィスコンシェルジュ,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録団体,,
,,,,サテライトオフィス誘致、テレワーク拠点の紹介,,企業等,行政サービス等,,,,,,企業等からの問い合わせ対応、視察の受入れ、コワーキングスペースなどテレワーク拠点の紹介、地域情報の発信、企業間マッチングの促進,,,新型コロナ以前より開始,,,,http://www.city.mima.lg.jp/gyousei/kurashi/ijyusokushin/sateraito_so.html,美馬市　美馬市サテライトオフィス体験施設「創～so～」,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録団体,,
,,,,サテライトオフィス誘致、テレワーク拠点の紹介,,企業等,行政サービス等,,,,,,企業等からの問い合わせ対応、視察の受入れ、コワーキングスペースなどテレワーク拠点の紹介、地域情報の発信、企業間マッチングの促進,,,新型コロナ以前より開始,,,,https://miyoshi-satelliteoffice.jp/,三好市　三好市サテライトオフィス,,,,,サービス提供,,,,,新型コロナウイルス感染症,テレワーク,,,,,,,,その他,オフィスなどの空間,,テレワーク・デイズ登録団体,,
